filename,status,n_vertices,n_faces,n_edges,euler,z_min,z_max,z_range,x_range,y_range
01FundoMar.ts,ok,455081,910053,1365133,1,-2252.501953125,-375.94635009765625,1876.5556030273438,37450.0,47900.0
01_FMar.ts,ok,48000,95776,143775,1,105.0158462524414,2251.843017578125,2146.8271713256836,50200.03125,39900.0
01_Topo.ts,ok,2437,4818,7254,1,707.615478515625,1086.7119140625,379.096435546875,10750.0,9500.0
01_fundo_mar.ts,ok,4,2,5,1,1810.0,1810.0,0.0,5000.0,5000.0
02TopoMioceno.ts,ok,443782,887351,1331132,1,-3032.14892578125,-1538.703125,1493.44580078125,45100.0,42750.0
02_Horizonte1.ts,ok,2442,4815,7256,1,1047.439697265625,1272.15234375,224.712646484375,10800.0,9500.0
02_MCinza.ts,ok,48000,95815,143814,1,673.8037719726562,2397.079345703125,1723.2755737304688,50200.0,39900.0
02_marco_branco.ts,ok,4,2,5,1,2610.0,2610.0,0.0,5000.0,5000.0
03TopoOligoMioceno.ts,ok,230587,461042,691628,1,-3006.326171875,-2509.11767578125,497.20849609375,29950.0,31600.0
03_Horizonte2.ts,ok,2436,4827,7262,1,1707.5008544921875,2483.582763671875,776.0819091796875,10800.0,9500.0
03_MBranco.ts,ok,48000,95680,143679,1,1164.2520751953125,2778.949951171875,1614.6978759765625,50200.0,39900.0
04BaseOligoMioceno.ts,ok,110240,220419,330658,1,-3154.486572265625,-2681.1181640625,473.368408203125,21500.0,22750.0
04_Horizonte3.ts,ok,2431,4821,7251,1,2620.685302734375,2863.309814453125,242.62451171875,10750.0,9500.0
04_marco_azul.ts,ok,4,2,5,1,3035.0,3035.0,0.0,5000.0,5000.0
05_Horizonte4.ts,ok,2398,4739,7136,1,2691.773681640625,3150.864013671875,459.09033203125,10750.0,9500.0
05_TopoCretaceo.ts,ok,48000,95687,143686,1,2650.429931640625,4574.404296875,1923.974365234375,50250.03125,39950.0
05_embasamento.ts,ok,4,2,5,1,3835.0,3835.0,0.0,5000.0,5000.0
06TopoCretaceoSuperior.ts,ok,412260,824430,1236689,1,-4479.73095703125,-2506.0966796875,1973.63427734375,44950.0,42900.0
